,,Type,Niveau,Production MW/H par an,Prix de construction,Ratio Prod/prix,Dangerosité,Ressource,"Consomation (t,Barils,M³)/an",Prix mWh,Pour 100k habs (M),Nmbr pour 100k habs
,,éolien onshore,1,100,"25 000,00",4,"2,00%",N/A,N/A,250,"12,5",500
,,éolien onshore,2,150,"32 400,00","4,62962963","1,90%",N/A,N/A,216,"12,528","386,6666667"
,,éolien onshore,3,200,"37 400,00","5,347593583","1,80%",N/A,N/A,187,"12,529",335
,,éolien onshore,4,300,"45 300,00","6,622516556","1,70%",N/A,N/A,151,"11,778",260
,,éolien onshore,5,415,"57 685,00","7,194244604","1,60%",N/A,N/A,139,"12,51","216,8674699"
,,éolien onshore,6,600,"72 000,00","8,333333333","1,50%",N/A,N/A,120,"12,48","173,3333333"
,,éolien onshore,7,850,"88 400,00","9,615384615","1,40%",N/A,N/A,104,"12,48","141,1764706"
,,éolien onshore,8,"1 200,00","108 000,00","11,11111111","1,30%",N/A,N/A,90,"12,51","115,8333333"
,,éolien onshore,9,"1 700,00","132 600,00","12,82051282","1,20%",N/A,N/A,78,"12,558","94,70588235"
,,éolien onshore,10,"2 500,00","167 500,00","14,92537313","1,10%",N/A,N/A,67,"12,529","74,8"
,,éolien onshore,11,"3 500,00","203 000,00","17,24137931","1,10%",N/A,N/A,58,"12,528","61,71428571"
,,éolien onshore,12,"5 000,00","250 000,00",20,"1,00%",N/A,N/A,50,"12,5",50
,,éolien offshore,1,500,"175 000,00","2,857142857","2,00%",N/A,N/A,350,"17,5",100
,,éolien offshore,2,650,"191 750,00","3,389830508","1,90%",N/A,N/A,295,"17,11","89,23076923"
,,éolien offshore,3,850,"212 500,00",4,"1,80%",N/A,N/A,250,"16,75","78,82352941"
,,éolien offshore,4,"1 100,00","232 100,00","4,739336493","1,70%",N/A,N/A,211,"16,458","70,90909091"
,,éolien offshore,5,"1 400,00","250 600,00","5,586592179","1,60%",N/A,N/A,179,"16,11","64,28571429"
,,éolien offshore,6,"1 800,00","271 800,00","6,622516556","1,50%",N/A,N/A,151,"15,704","57,77777778"
,,éolien offshore,7,"2 300,00","294 400,00","7,8125","1,40%",N/A,N/A,128,"15,36","52,17391304"
,,éolien offshore,8,"3 000,00","324 000,00","9,259259259","1,30%",N/A,N/A,108,"15,012","46,33333333"
,,éolien offshore,9,"4 000,00","364 000,00","10,98901099","1,20%",N/A,N/A,91,"14,651","40,25"
,,éolien offshore,10,"5 000,00","385 000,00","12,98701299","1,10%",N/A,N/A,77,"14,399","37,4"
,,éolien offshore,11,"6 500,00","422 500,00","15,38461538","1,10%",N/A,N/A,65,"14,04","33,23076923"
,,éolien offshore,12,"8 000,00","440 000,00","18,18181818","1,00%",N/A,N/A,55,"13,75","31,25"
,,Solaire,1,10,"4 000,00","2,5","1,00%",N/A,N/A,400,20,5000
,,Solaire,2,15,"5 055,00","2,96735905","0,90%",N/A,N/A,337,"19,546","3866,666667"
,,Solaire,3,20,"5 660,00","3,533568905","0,80%",N/A,N/A,283,"18,961",3350
,,Solaire,4,30,"7 140,00","4,201680672","0,75%",N/A,N/A,238,"18,564",2600
,,Solaire,5,40,"8 000,00",5,"0,70%",N/A,N/A,200,18,2250
,,Solaire,6,60,"10 020,00","5,988023952","0,65%",N/A,N/A,167,"17,368","1733,333333"
,,Solaire,7,85,"12 070,00","7,042253521","0,60%",N/A,N/A,142,"17,04","1411,764706"
,,Solaire,8,120,"14 400,00","8,333333333","0,55%",N/A,N/A,120,"16,68","1158,333333"
,,Solaire,9,175,"17 500,00",10,"0,50%",N/A,N/A,100,"16,1",920
,,Solaire,10,245,"20 825,00","11,76470588","0,50%",N/A,N/A,85,"15,895","763,2653061"
,,Solaire,11,350,"24 850,00","14,08450704","0,50%",N/A,N/A,71,"15,336","617,1428571"
,,Solaire,12,500,"30 000,00","16,66666667","0,50%",N/A,N/A,60,15,500
,,Centrale solaire,5,"40 000,00","10 000 000,00",4,"0,70%",N/A,N/A,250,"22,5","2,25"
,,Centrale solaire,6,"50 000,00","10 250 000,00","4,87804878","0,65%",N/A,N/A,205,"21,32","2,08"
,,Centrale solaire,7,"60 000,00","10 080 000,00","5,952380952","0,60%",N/A,N/A,168,"20,16",2
,,Centrale solaire,8,"70 000,00","9 660 000,00","7,246376812","0,55%",N/A,N/A,138,"19,182","1,985714286"
,,Centrale solaire,9,"85 000,00","9 605 000,00","8,849557522","0,50%",N/A,N/A,113,"18,193","1,894117647"
,,Centrale solaire,10,"100 000,00","9 200 000,00","10,86956522","0,50%",N/A,N/A,92,"17,204","1,87"
,,Centrale solaire,11,"125 000,00","9 375 000,00","13,33333333","0,50%",N/A,N/A,75,"16,2","1,728"
,,Centrale solaire,12,"150 000,00","9 300 000,00","16,12903226","0,50%",N/A,N/A,62,"15,5","1,666666667"
,,Hydroélectrique,1,1,160,"6,25","4,00%",N/A,N/A,160,8,50000
,,Hydroélectrique,2,1,146,"6,849315068","3,80%",N/A,N/A,146,"8,468",58000
,,Hydroélectrique,3,1,134,"7,462686567","3,60%",N/A,N/A,134,"8,978",67000
,,Hydroélectrique,4,1,122,"8,196721311","3,50%",N/A,N/A,122,"9,516",78000
,,Hydroélectrique,5,1,112,"8,928571429","3,40%",N/A,N/A,112,"10,08",90000
,,Hydroélectrique,6,1,102,"9,803921569","3,30%",N/A,N/A,102,"10,608",104000
,,Hydroélectrique,7,1,94,"10,63829787","3,20%",N/A,N/A,94,"11,28",120000
,,Hydroélectrique,8,1,86,"11,62790698","3,10%",N/A,N/A,86,"11,954",139000
,,Hydroélectrique,9,1,78,"12,82051282","3,00%",N/A,N/A,78,"12,558",161000
,,Hydroélectrique,10,1,72,"13,88888889","3,00%",N/A,N/A,72,"13,464",187000
,,Hydroélectrique,11,1,66,"15,15151515","3,00%",N/A,N/A,66,"14,256",216000
,,Hydroélectrique,12,1,60,"16,66666667","3,00%",N/A,N/A,60,15,250000
,,Nucléaire OCC,4,"2 000 000,00","250 000 000,00",8,"2,00%",Uranium,"1 500,00",125,"9,75","0,039"
,,Nucléaire OCC,5,"2 400 000,00","259 200 000,00","9,259259259","1,90%",Uranium,"1 400,00",108,"9,72","0,0375"
,,Nucléaire OCC,6,"2 800 000,00","263 200 000,00","10,63829787","1,80%",Uranium,"1 300,00",94,"9,776","0,03714285714"
,,Nucléaire OCC,7,"3 400 000,00","278 800 000,00","12,19512195","1,60%",Uranium,"1 200,00",82,"9,84","0,03529411765"
,,Nucléaire OCC,8,"4 000 000,00","284 000 000,00","14,08450704","1,40%",Uranium,"1 125,00",71,"9,869","0,03475"
,,Nucléaire OCC,9,"4 800 000,00","292 800 000,00","16,39344262","1,20%",Uranium,"1 000,00",61,"9,821","0,03354166667"
,,Nucléaire OCC,10,"5 600 000,00","296 800 000,00","18,86792453","1,00%",Uranium,975,53,"9,911","0,03339285714"
,,Nucléaire OCC,11,"6 700 000,00","308 200 000,00","21,73913043","1,00%",Uranium,900,46,"9,936","0,03223880597"
,,Nucléaire OCC,12,"8 000 000,00","320 000 000,00",25,"1,00%",Uranium,845,40,10,"0,03125"
,,Nucléaire ORT,4,"2 000 000,00","200 000 000,00",10,"7,00%",Uranium,"1 500,00",100,"7,8","0,039"
,,Nucléaire ORT,5,"2 400 000,00","211 200 000,00","11,36363636","6,70%",Uranium,"1 400,00",88,"7,92","0,0375"
,,Nucléaire ORT,6,"2 800 000,00","215 600 000,00","12,98701299","6,50%",Uranium,"1 300,00",77,"8,008","0,03714285714"
,,Nucléaire ORT,7,"3 400 000,00","227 800 000,00","14,92537313","6,20%",Uranium,"1 200,00",67,"8,04","0,03529411765"
,,Nucléaire ORT,8,"4 000 000,00","236 000 000,00","16,94915254","5,90%",Uranium,"1 125,00",59,"8,201","0,03475"
,,Nucléaire ORT,9,"4 800 000,00","249 600 000,00","19,23076923","5,70%",Uranium,"1 000,00",52,"8,372","0,03354166667"
,,Nucléaire ORT,10,"5 600 000,00","257 600 000,00","21,73913043","5,50%",Uranium,975,46,"8,602","0,03339285714"
,,Nucléaire ORT,11,"6 700 000,00","268 000 000,00",25,"5,20%",Uranium,900,40,"8,64","0,03223880597"
,,Nucléaire ORT,12,"8 000 000,00","280 000 000,00","28,57142857","5,00%",Uranium,845,35,"8,75","0,03125"
,,Charbon,1,"1 000 000,00","150 000 000,00","6,666666667","10,00%",Charbon,"1 000 000,00",150,"7,5","0,05"
,,Charbon,2,"1 250 000,00","168 750 000,00","7,407407407","9,80%",Charbon,"1 160 000,00",135,"7,83","0,0464"
,,Charbon,3,"1 500 000,00","180 000 000,00","8,333333333","9,40%",Charbon,"1 350 000,00",120,"8,04","0,04466666667"
,,Charbon,4,"1 900 000,00","205 200 000,00","9,259259259","9,00%",Charbon,"1 550 000,00",108,"8,424","0,04105263158"
,,Charbon,5,"2 300 000,00","223 100 000,00","10,30927835","8,80%",Charbon,"1 800 000,00",97,"8,73","0,03913043478"
,,Charbon,6,"2 900 000,00","252 300 000,00","11,49425287","8,60%",Charbon,"2 000 000,00",87,"9,048","0,03586206897"
,,Charbon,7,"3 500 000,00","273 000 000,00","12,82051282","8,40%",Charbon,"2 500 000,00",78,"9,36","0,03428571429"
,,Charbon,8,"4 500 000,00","315 000 000,00","14,28571429","8,20%",Charbon,"2 800 000,00",70,"9,73","0,03088888889"
,,Charbon,9,"5 500 000,00","341 000 000,00","16,12903226","8,00%",Charbon,"3 200 000,00",62,"9,982","0,02927272727"
,,Charbon,10,"6 500 000,00","364 000 000,00","17,85714286","8,00%",Charbon,"3 700 000,00",56,"10,472","0,02876923077"
,,Charbon,11,"8 000 000,00","400 000 000,00",20,"8,00%",Charbon,"4 300 000,00",50,"10,8","0,027"
,,Charbon,12,"10 000 000,00","450 000 000,00","22,22222222","8,00%",Charbon,"5 000 000,00",45,"11,25","0,025"
,,Pétrole,1,"1 000 000,00","140 000 000,00","7,142857143","9,50%",Pétrole,"650 000,00",140,7,"0,05"
,,Pétrole,2,"1 200 000,00","152 400 000,00","7,874015748","9,10%",Pétrole,"770 000,00",127,"7,366","0,04833333333"
,,Pétrole,3,"1 400 000,00","162 400 000,00","8,620689655","8,90%",Pétrole,"900 000,00",116,"7,772","0,04785714286"
,,Pétrole,4,"1 700 000,00","178 500 000,00","9,523809524","8,50%",Pétrole,"1 100 000,00",105,"8,19","0,04588235294"
,,Pétrole,5,"2 000 000,00","192 000 000,00","10,41666667","8,30%",Pétrole,"1 300 000,00",96,"8,64","0,045"
,,Pétrole,6,"2 500 000,00","220 000 000,00","11,36363636","8,10%",Pétrole,"1 500 000,00",88,"9,152","0,0416"
,,Pétrole,7,"2 900 000,00","232 000 000,00","12,5","7,90%",Pétrole,"1 750 000,00",80,"9,6","0,04137931034"
,,Pétrole,8,"3 500 000,00","255 500 000,00","13,69863014","7,70%",Pétrole,"2 000 000,00",73,"10,147","0,03971428571"
,,Pétrole,9,"4 100 000,00","270 600 000,00","15,15151515","7,50%",Pétrole,"2 500 000,00",66,"10,626","0,03926829268"
,,Pétrole,10,"5 000 000,00","300 000 000,00","16,66666667","7,50%",Pétrole,"2 800 000,00",60,"11,22","0,0374"
,,Pétrole,11,"5 800 000,00","319 000 000,00","18,18181818","7,50%",Pétrole,"3 400 000,00",55,"11,88","0,03724137931"
,,Pétrole,12,"7 000 000,00","350 000 000,00",20,"7,50%",Pétrole,"4 000 000,00",50,"12,5","0,03571428571"
,,Gaz,1,"1 000 000,00","140 000 000,00","7,142857143","6,00%",Gaz,"200 000 000,00",140,7,"0,05"
,,Gaz,2,"1 200 000,00","151 200 000,00","7,936507937","5,80%",Gaz,"250 000 000,00",126,"7,308","0,04833333333"
,,Gaz,3,"1 400 000,00","159 600 000,00","8,771929825","5,40%",Gaz,"300 000 000,00",114,"7,638","0,04785714286"
,,Gaz,4,"1 650 000,00","169 950 000,00","9,708737864","5,00%",Gaz,"365 000 000,00",103,"8,034","0,04727272727"
,,Gaz,5,"2 000 000,00","186 000 000,00","10,75268817","4,80%",Gaz,"450 000 000,00",93,"8,37","0,045"
,,Gaz,6,"2 300 000,00","193 200 000,00","11,9047619","4,60%",Gaz,"550 000 000,00",84,"8,736","0,0452173913"
,,Gaz,7,"2 700 000,00","202 500 000,00","13,33333333","4,40%",Gaz,"665 000 000,00",75,9,"0,04444444444"
,,Gaz,8,"3 150 000,00","214 200 000,00","14,70588235","4,20%",Gaz,"810 000 000,00",68,"9,452","0,04412698413"
,,Gaz,9,"3 700 000,00","225 700 000,00","16,39344262","4,00%",Gaz,"1 000 000 000,00",61,"9,821","0,04351351351"
,,Gaz,10,"4 400 000,00","242 000 000,00","18,18181818","4,00%",Gaz,"1 200 000 000,00",55,"10,285","0,0425"
,,Gaz,11,"5 100 000,00","255 000 000,00",20,"4,00%",Gaz,"1 500 000 000,00",50,"10,8","0,04235294118"
,,Gaz,12,"6 000 000,00","270 000 000,00","22,22222222","4,00%",Gaz,"1 800 000 000,00",45,"11,25","0,04166666667"
,,Géothermie,1,"300 000,00","30 000 000,00",10,"1,00%",N/A,N/A,100,5,"0,1666666667"
,,Géothermie,2,"315 000,00","30 240 000,00","10,41666667","0,90%",N/A,N/A,96,"5,568","0,1841269841"
,,Géothermie,3,"330 000,00","30 360 000,00","10,86956522","0,80%",N/A,N/A,92,"6,164","0,203030303"
,,Géothermie,4,"345 000,00","30 705 000,00","11,23595506","0,75%",N/A,N/A,89,"6,942","0,2260869565"
,,Géothermie,5,"360 000,00","30 600 000,00","11,76470588","0,70%",N/A,N/A,85,"7,65","0,25"
,,Géothermie,6,"380 000,00","31 160 000,00","12,19512195","0,65%",N/A,N/A,82,"8,528","0,2736842105"
,,Géothermie,7,"396 000,00","31 284 000,00","12,65822785","0,60%",N/A,N/A,79,"9,48","0,303030303"
,,Géothermie,8,"415 000,00","31 540 000,00","13,15789474","0,55%",N/A,N/A,76,"10,564","0,334939759"
,,Géothermie,9,"435 000,00","31 755 000,00","13,69863014","0,50%",N/A,N/A,73,"11,753","0,3701149425"
,,Géothermie,10,"455 000,00","31 850 000,00","14,28571429","0,50%",N/A,N/A,70,"13,09","0,410989011"
,,Géothermie,11,"480 000,00","32 640 000,00","14,70588235","0,50%",N/A,N/A,68,"14,688","0,45"
,,Géothermie,12,"500 000,00","32 500 000,00","15,38461538","0,50%",N/A,N/A,65,"16,25","0,5"
,,Biomasse,1,"500 000,00","75 000 000,00","6,666666667","8,00%",Bois,"700 000,00",150,"7,5","0,1"
,,Biomasse,2,"590 000,00","82 010 000,00","7,194244604","7,80%",Bois,"865 000,00",139,"8,062","0,09830508475"
,,Biomasse,3,"695 000,00","89 655 000,00","7,751937984","7,70%",Bois,"1 100 000,00",129,"8,643","0,0964028777"
,,Biomasse,4,"815 000,00","96 985 000,00","8,403361345","7,60%",Bois,"1 300 000,00",119,"9,282","0,09570552147"
,,Biomasse,5,"960 000,00","105 600 000,00","9,090909091","7,50%",Bois,"1 600 000,00",110,"9,9","0,09375"
,,Biomasse,6,"1 120 000,00","115 360 000,00","9,708737864","7,40%",Bois,"2 000 000,00",103,"10,712","0,09285714286"
,,Biomasse,7,"1 350 000,00","128 250 000,00","10,52631579","7,30%",Bois,"2 500 000,00",95,"11,4","0,08888888889"
,,Biomasse,8,"1 550 000,00","136 400 000,00","11,36363636","7,20%",Bois,"3 000 000,00",88,"12,232","0,08967741935"
,,Biomasse,9,"1 850 000,00","151 700 000,00","12,19512195","7,00%",Bois,"3 700 000,00",82,"13,202","0,08702702703"
,,Biomasse,10,"2 200 000,00","167 200 000,00","13,15789474","7,00%",Bois,"4 600 000,00",76,"14,212","0,085"
,,Biomasse,11,"2 550 000,00","178 500 000,00","14,28571429","7,00%",Bois,"5 700 000,00",70,"15,12","0,08470588235"
,,Biomasse,12,"3 000 000,00","195 000 000,00","15,38461538","7,00%",Bois,"7 000 000,00",65,"16,25","0,08333333333"
